2025-06-01 19:55:36.7038 | INFO | Загрузка формы началась 
2025-06-01 19:55:36.9975 | INFO | Задачи загружены 
2025-06-01 19:55:36.9975 | INFO | Форма успешно загружена 
2025-06-01 19:58:03.9835 | INFO | Загрузка формы началась 
2025-06-01 19:58:04.3299 | INFO | Задачи загружены 
2025-06-01 19:58:04.3299 | INFO | Форма успешно загружена 
2025-06-01 19:58:12.4111 | INFO | Добавлена новая задача 
2025-06-01 19:58:12.4111 | INFO | Поля ввода очищены 
2025-06-01 19:58:12.4111 | INFO | Задачи загружены 
2025-06-01 19:58:23.5444 | INFO | Задача обновлена 
2025-06-01 19:58:23.5444 | INFO | Поля ввода очищены 
2025-06-01 19:58:23.5444 | INFO | Задачи загружены 
2025-06-01 19:58:26.0676 | INFO | Задача удалена 
2025-06-01 19:58:26.0676 | INFO | Поля ввода очищены 
2025-06-01 19:58:26.0676 | INFO | Задачи загружены 
2025-06-01 19:59:06.6365 | INFO | Загрузка формы началась 
2025-06-01 19:59:06.9702 | INFO | Задачи загружены 
2025-06-01 19:59:06.9702 | INFO | Форма успешно загружена 
2025-06-01 19:59:09.5118 | INFO | Добавлена новая задача 
2025-06-01 19:59:09.5118 | INFO | Поля ввода очищены 
2025-06-01 19:59:09.5236 | INFO | Задачи загружены 
2025-06-01 19:59:16.1206 | INFO | Добавлена новая задача 
2025-06-01 19:59:16.1206 | INFO | Поля ввода очищены 
2025-06-01 19:59:16.1311 | INFO | Задачи загружены 
2025-06-01 19:59:26.1901 | INFO | Задача обновлена 
2025-06-01 19:59:26.1901 | INFO | Поля ввода очищены 
2025-06-01 19:59:26.1955 | INFO | Задачи загружены 
2025-06-01 19:59:28.4234 | INFO | Задача удалена 
2025-06-01 19:59:28.4234 | INFO | Поля ввода очищены 
2025-06-01 19:59:28.4307 | INFO | Задачи загружены 
2025-06-01 19:59:30.8331 | INFO | Задача удалена 
2025-06-01 19:59:30.8331 | INFO | Поля ввода очищены 
2025-06-01 19:59:30.8331 | INFO | Задачи загружены 
